gram,TF,DF,TF_IDF,all_TF,all_DF,all_TF_IDF,expected_TF,expected_DF,DF_chisquare,MI,Lift,TF*DF_chisquare
聯電,1094,676,0.115477531,15124,6817,8.736191939,32.95933934,14.85611057,29422.99335,0.000137346,45.5031616,32188754.73
外資,1912,429,0.967958377,107063,40976,5.473078411,233.3196077,89.29792969,1292.275162,1.45008E-05,4.804142733,2470830.11
億元,2134,429,0.978743864,230294,67067,4.413620359,501.8737168,146.1573665,547.3549313,8.85954E-06,2.935192459,1168055.423
台股,1719,406,1.058866252,172267,53883,4.918951579,375.4169869,117.4258187,709.1716207,1.04361E-05,3.457501976,1219066.016
買超,2203,404,1.095116436,39365,16475,7.292666401,85.78711934,35.90353845,3773.862155,3.3964E-05,11.25237281,8313818.328
指數,1655,391,1.123720892,190907,59724,4.673411827,416.0386534,130.1549578,522.7625374,9.06756E-06,3.004111457,865171.9993
台積電,781,387,1.054232014,53666,21836,6.767074351,116.9529162,47.58662614,2420.878463,2.45471E-05,8.132537046,1890706.08
積電,782,387,1.054382517,53776,21880,6.76311476,117.1926363,47.68251419,2414.645245,2.44978E-05,8.116182767,1888252.582
賣超,1478,373,1.195980904,47226,17674,7.222611399,102.9183919,38.51648793,2904.709797,2.92305E-05,9.684164369,4293161.081
市場,1028,372,1.155430979,282414,108406,3.129789683,615.4574755,236.2463727,78.00774729,4.75283E-06,1.574627351,80191.96422
上漲,1044,348,1.273759086,106652,38310,5.647683829,232.4239261,83.48798532,838.0440089,1.25814E-05,4.168264436,874917.9453
成交,646,315,1.372547272,84634,35841,5.725091055,184.4406721,78.10735792,718.4742305,1.21729E-05,4.032910706,464134.3529
漲點,613,294,1.477828699,36696,19353,6.863829614,79.97063715,42.1754889,1503.612312,2.10408E-05,6.970873549,921714.3474
鴻海,539,291,1.472649895,40376,17448,7.167314913,87.99036532,38.02397201,1683.066427,2.30999E-05,7.653066857,907172.8044
元大,603,290,1.497531875,44136,20061,6.874639768,96.1844354,43.71841486,1387.392918,2.0022E-05,6.633360356,836597.9296
台灣,452,285,1.475551379,144274,56761,4.719017956,314.412571,123.6977691,210.3385524,6.95437E-06,2.304002748,95073.02568
投信,526,279,1.536517785,41471,20983,6.732067881,90.3766703,45.72770545,1189.999867,1.84162E-05,6.101333912,625939.93
金融,476,279,1.518605251,98916,45908,5.145959074,215.5650628,100.0461088,320.0973584,8.41741E-06,2.788714156,152366.3426
電子,575,277,1.564237735,74232,39879,5.397897672,161.7718644,86.90726616,415.790866,9.62051E-06,3.187305415,239079.748
友達,369,271,1.518011944,13804,7090,8.581645011,30.08269771,15.45105236,4226.590081,5.29402E-05,17.53925841,1559611.74
法人,622,271,1.614515432,93919,41829,5.367999548,204.6752308,91.15685038,354.8121544,8.97335E-06,2.972897801,220693.16
持續,583,259,1.676616603,100233,59826,4.460763722,218.4351666,130.3772438,126.8918788,5.99615E-06,1.986542992,73977.96533
個股,547,258,1.67057192,39072,25866,6.192969364,85.14859207,56.36910019,721.2288226,1.38151E-05,4.576975668,394512.1659
股價,680,253,1.745388471,103556,46707,5.117972146,225.676894,101.7873487,224.6376017,7.50242E-06,2.485574122,152753.5691
表現,582,251,1.727585648,78355,42863,5.234772941,170.757011,93.41021965,265.86533,8.11062E-06,2.687072153,154733.6221
自營商,430,248,1.686240086,27492,12400,7.760679634,59.91259964,27.02299708,1807.010365,2.77008E-05,9.177368421,777014.4572
營商,431,248,1.686708262,28619,13201,7.637234727,62.36864139,28.76859552,1670.655374,2.602E-05,8.620511205,720052.4664
資買,398,247,1.67697041,9164,6893,8.34531949,19.97086655,15.02173539,3582.403354,4.96308E-05,16.44284056,1425796.535
超億元,913,244,1.865965396,20365,7445,8.750956251,44.38091415,16.22469461,3197.692836,4.53929E-05,15.03880386,2919493.56
終場,418,243,1.712566245,28195,17441,6.968884281,61.44462924,38.0087171,1105.573386,1.92974E-05,6.393270243,462129.6755
股市,413,243,1.710094599,72712,38753,5.462548183,158.459368,84.45340368,297.6436959,8.68488E-06,2.877326305,122926.8464
月日,372,238,1.720859734,184440,90315,3.536858928,401.9452888,196.8211275,8.615434547,3.64989E-06,1.209219778,3204.941652
資買超,354,234,1.736603032,5787,4716,8.79459221,12.61145839,10.27745598,4870.055078,6.87234E-05,22.76828043,1723999.497
大立光,393,232,1.772212417,26137,12770,7.660186353,56.95968343,27.82932844,1497.904027,2.51629E-05,8.336528871,588676.2824
立光,393,232,1.772212417,26246,12838,7.650243131,57.19722429,27.97751907,1487.807858,2.50296E-05,8.292372152,584708.4883
盤中,377,232,1.763312287,35768,22256,6.513017778,77.94827092,48.5019212,694.231158,1.44379E-05,4.783315676,261725.1466
群創,301,230,1.7281844,9404,5789,8.741202774,20.4938923,12.61581694,3745.764802,5.50284E-05,18.23108254,1127475.205
今日,813,227,1.964864841,68823,40784,5.310793789,149.9841716,88.87950909,214.6419372,7.70901E-06,2.554019507,174503.895
買超億,648,226,1.922668048,11119,5890,8.831170467,24.23134714,12.83592361,3539.980826,5.31442E-05,17.60683585,2293907.575
上市,336,226,1.778786943,59184,28273,6.169640641,128.9781499,61.61461261,438.573813,1.10713E-05,3.667961064,147360.8012
新台,291,225,1.753958424,71282,37637,5.528785484,155.3430063,82.02133395,249.2388012,8.28E-06,2.743188743,72528.49115
外資買,358,222,1.820242817,7718,5801,8.585989621,16.81963641,12.64196823,3467.085558,5.30045E-05,17.56055671,1241216.63
表示,352,222,1.816483199,179534,98985,3.281275476,391.2537707,215.7154327,0.183092075,3.10632E-06,1.029133601,64.44841033
買超億元,629,221,1.953056947,9916,4976,9.110045193,21.60968056,10.84406721,4072.781477,6.15141E-05,20.37980729,2561779.549
台幣,335,221,1.812383894,88494,42389,5.310428706,192.8526696,92.37724379,179.0897058,7.22108E-06,2.392364082,59995.05145
美國,523,220,1.919172702,201809,62406,4.571075717,439.7970981,135.9997706,51.88272383,4.88269E-06,1.617649787,27134.66456
富邦,351,216,1.858036772,24904,11348,7.907185724,54.27263864,24.73040087,1479.315266,2.63631E-05,8.734189192,519239.6585
三大,468,216,1.923515096,32060,21435,6.547151574,69.86752308,46.71273728,613.4981375,1.3957E-05,4.624006482,287117.1283
加權,282,215,1.8151717,17283,12777,7.404927457,37.66439181,27.84458336,1257.952024,2.33062E-05,7.721429954,354742.4706
成交量,299,213,1.842653475,34782,16361,7.239311608,75.7995068,35.65510122,882.0957463,1.80315E-05,5.973899742,263746.6282
下跌,512,212,1.974078431,84014,33395,5.903876633,183.0895223,72.77685382,266.3358392,8.7926E-06,2.913014082,136363.9497
外資買超,316,211,1.86972442,5237,4243,8.931110752,11.41285772,9.246659402,4402.066592,6.88767E-05,22.81905181,1391053.043
中信金,262,211,1.826243675,8673,5521,8.781090367,18.90084303,12.03177152,3290.318128,5.29331E-05,17.53690216,862063.3495
信金,264,211,1.828008124,8856,5689,8.732811557,19.29965017,12.39788955,3181.412299,5.137E-05,17.01902564,839892.8469
美股,453,210,1.96083092,45216,24740,6.372528373,98.53805127,53.91523771,451.8658185,1.17566E-05,3.895002766,204695.2158
新台幣,276,210,1.845421143,69911,36651,5.588201059,152.3552217,79.87256982,212.0020443,7.9359E-06,2.629187974,58512.56422
大漲,456,208,1.977574862,28706,18193,6.878797854,62.55823823,39.64753111,714.8630189,1.58351E-05,5.246228306,325977.5366
漲幅,460,207,1.987290987,44573,23456,6.49627117,97.13677812,51.11704995,475.3696494,1.2223E-05,4.049529466,218670.0387
收盤,305,207,1.890465596,53626,27276,6.213190715,116.8657453,59.44187647,366.2973162,1.05112E-05,3.482393429,111720.6814
交易,283,205,1.887379304,186015,62248,4.552318567,405.3776452,135.6554453,35.44765382,4.56133E-06,1.511181505,10031.68603
