,post_time,title,content
204,2016/1/4 19:30:00,台股紅盤日慘綠 外資大砍139億 台積電首當其衝,歐美股市大跌，2016年第一個交易日亞股也全面跟跌，台股指數開低走低，權值股則是重災區，台灣50成分股僅剩華亞科一檔逆勢抗跌，終場指數重挫223.8點，以8114.26點作收。三大法人也全面賣超，外資大舉賣超139.36億元，為2015年11月30日以來新高，投信賣超2.87億元，自營商賣超31.36億元，合計賣超173.6億元。<BR>期貨部分，三大法人則是以自營商較為看多，單日回補空單1475口，淨部位淨空單降到1476口。外資也減碼多單2154口，淨部位淨多單降回2萬口以下，為17820口；投信續加碼空單392口，淨部位淨空單為7554口；合計三大法人今天共減碼多單1071口，淨部位淨多單又降到萬口以下，為8790口。<BR>外資今天賣壓主要都集中在權值股，包括電子跟金融權值股，其中台積電更遭賣超逾2萬張，創下11月30日以來單日賣超最大量，另外聯電也同樣遭外資大賣超。而面板雙虎友達跟群創也難逃賣超。<BR>至於金融股的賣壓也同樣沉重，中信金、國泰金、新光金、開發金、玉山金、永豐金、元大金、台新金等，外資賣超張數也都超過1萬張，顯示外資面對歐美股市大跌，砍權值股換現金目的相當明顯。<BR>今天外資集中市場買超第1名為英業達，買超張數4963張，第2名臺鹽，買超4770張，第3名華通，買超2803張，第4名智易，買超2134張，第5名宏達電，買超1554張。6到10名依序為，中石化，買超1539張；長榮航，買超1148張；滬安，買超1136張；國喬，買超1031張；力成，買超1009張。<BR>外資集中市場賣超第1名台積電，賣超張數20539張，第2名中信金，賣超張數19335張，第3名鴻海，賣超19129張，第4名國泰金，賣超17328張，第5名群創，賣超16945張。6到10名依序為，友達，賣超15976張；新光金，賣超15292張；聯電，賣超13288張；開發金，賣超12925張；玉山金，賣超12758張。<BR>法人指出，陸股今天成為亞股中的重災區，尤其熔斷機制才第一天上路，就觸發了，應該與12月財星中國製造業PMI數據由11月的48.6降至48.2，並創下9月以來新低有，因此上海綜合指數盤中大跌超過6.8%，深圳更下挫超過8.1%，因此要先觀察資金是否進一步撤出新興亞洲市場，回流歐美的跡象。另外台股今天主要是因為歐美股市大跌，根據歷史經驗，外資在美股大跌後都會砍台股抽資金，因此今天大跌過後，要觀察明天能否止跌回穩，否則即有回測前波低點7980點的機率。
884,2016/1/11 15:55:00,《證交所》外資上周賣超台股400億元,"外資收假，面臨全球股市動盪，台股又成提款機，根據台灣證券交易所統計，上周外資在集中市場總買進金額為1,157.44億元，總賣出金額為1,557.50億元，累計賣超400.06億元。外資總持有股票市值為8兆8,100.91億元新台幣，占全體上市股票市值的38.18％，較104年12月31日的9兆3,808.72億元新台幣減少5,707.81億元。<BR> 在個股方面，上周外資自集中市場買超最多1檔是中華電 (2412) ，總計買超17,136張，其次是昱晶 (3514) ，買超13,990張，華通 (2313) 買超13,259張排第3。賣超方面，新光金 (2888) 賣超85,004張，居集中市場第1大，晶圓雙雄台積電 (2330) 、聯電 (2303) 分居第2、3名，賣超張數分別為61,531張、60,785張。"
942,2016/1/12 08:03:00,上週外資在集中市場賣超400.06億元，賣超新光金最多,"上週外資在集中市場賣超400.06億元，賣超新光金8.50萬張最多，另買超中華電1.71萬張最多。 <BR>根據台灣證券交易所統計，上週（105/1/4~105/1/8）外資在集中市場總買進金額為1,157.44億元，總賣出金額為1,557.50億元，累計賣超為400.06億元，另統計自105年年初至1月8日止，外資總買進金額為1,157.44億元，總賣出金額為1,557.50億元，累計賣超為400.06億元。<BR>外資總持有股票（包括原始股東持股及自集中市場買進之持股）市值為8兆8,100.91億元新台幣，占全體上市股票市值的38.18%，較104年12月31日的9兆3,808.72億元新台幣減少5,707.81億元。<BR>就個股部分比較： <BR>上週外資自集中市場買超最多的前三名上市公司為：<BR>第一名：中華電：買進43,774千股，賣出26,638千股，買超17,136千股。<BR>第二名：昱晶：買進21,618千股，賣出7,628千股，買超13,990千股。<BR>第三名：華通：買進22,147千股，賣出8,888千股，買超13,259千股。<BR>上週外資自集中市場賣超最多的前三名上市公司為：<BR>第一名：新光金：買進19,454千股，賣出104,458千股，賣超85,004千股。<BR>第二名：台積電：買進123,836千股，賣出185,367千股，賣超61,531千股。<BR>第三名：聯電：買進61,215千股，賣出122,000千股，賣超60,785千股。"
998,2016/1/12 15:16:00,《集中市場》生醫股腿軟，三大法人賣超44.66億元,美股昨夜小幅彈升，台股在國家隊力挺下跳空開高，面板雙虎及玻陶股強勢領軍，推升指數一度上攻至7851.81點，惟受制日陸等亞股走勢震盪，且周末總統大選將屆，市場觀望氣氛濃厚，生醫股、股王大立光 (3008) 、股后漢微科 (3658) 帶頭下殺，大盤由紅翻黑，全日震盪逾百點，所幸金融股穩住陣腳，終場加權指數下跌19.97點為7768.45點，成交值860.87億元，7800點得而復失。今日外資賣超31.5671億元，投信買超7.6997億元，自營商賣超20.8004億元，三大法人賣超44.66億元。<BR> 電子股方面，面板雙虎友達 (2409) 、群創 (3481) 上季營收同步衰退，財報赤字壓力浮現，近期股價持續重挫，今日獲買盤力挺，雙雙帶量強攻；股王大立光 (3008) 、股后漢微科 (3658) 今日聯袂開高震盪走低，齊挫近半根停板；權值股台積電 (2330) 收在平盤，聯發科 (2454) 、宏達電 (2498) 齊步走跌。傳產股方面，玻陶股凱撒衛 (1817) 挾上月營收創新高、今年業績持續看俏，股價強勢大漲，帶動台玻 (1802) 同步走揚，成盤面上焦點族群。國際原油價格再度走軟，逼近每桶30美元大關，有利航運股營運，航空雙雄華航 (2610) 、長榮航 (2618) 攜手高飛。新藥股王浩鼎 (4174) 市值摔破千億元，中裕 (4147) 同步觸及跌停，空方壓力傾巢而出，拖累上櫃生醫股重摔6%，盤面上最弱勢。金融股開高震盪，富邦金 (2881) 尾盤獲買單拉抬，壽險股中壽 (2823) 、新光金 (2888) 同步止跌，帶動類股收紅。<BR> 焦點股方面，近期台股跌跌不休，上市櫃新兵邑錡 (7402) 、銘鈺 (4545) 及同泰 (3321) 同步跌破承銷價，銘鈺更殺至上市來新低。業績股為今日多頭指標，F-永冠 (1589) 去年營收及出貨量同創新高，今日一度觸頂；碩天 (3617) 上月及去年業績表現亮眼，外資擴大買超，今日突破短均糾結爆量攻頂；和碩 (4938) 去年營收年增19.0%，股價勁揚3%；微星 (2377) 估去年EPS約4.22元，可望創歷史新高，股價大漲4.5%；泰碩 (3338) 去年每股估賺近2元，今年業績會更好，今日收高3%。南亞科 (2408) 現金增資引進記憶體模組龍頭金士頓入股，未來將投資美光私募股，形成泛美光聯盟，股價震盪壓回6%。聯發科 (2454) 遭歐系外資調降目標價至230元，今年每股盈餘預估下修至15.5元，股價下挫1%。茂迪 (6244) 在大股東台積電處分部分持股後，聯電 (2303) 也宣布請辭董事職務，今日一度重挫跌停。<BR> 外資今日賣超31.5671億元，5日RSI為14.76，10日RSI為23.06，9日K值為13.51，9日D值為21.61，20日乖離率為-4.78。台股今日受到股王大立光與股后漢微科帶頭下殺，使盤勢開高震盪走低，7800點得而復失，所幸尾盤台塑 (1301) 、富邦金 (2881) 、中華電 (2412) 與鴻海 (2317) 等集團股力撐指數，終場僅小挫19.97點。分析師表示，周末總統大選將屆，市場觀望氣氛濃厚，台股震盪偏弱的可能性較大；短期均線偏空，量價結構不利多方，短線指數將於7675-7950點區間震盪。操作上，去年12月營收相對佳或Q4衰退幅度小，優於市場預期的個股，配合法人買超籌碼穩定標的，為現階段選股的主要參考依據。(編輯整理：龍彩霖)
1793,2016/1/20 12:28:00,外資韓股大逃殺，今年賣超額已達去年一半！三星最慘,"MoneyDJ新聞 2016-01-20 12:28:02 記者 陳苓 報導<BR>今年全球股市開門黑，韓股成了外資提款機，賣超額度已達去年全年一半，其中三星更是外資頭號狙擊目標，股價一路下殺。<BR>韓國時報19日報導，南韓證交所數據顯示，今年1月1日~18日之間，外資賣超韓股金額已達1.9兆韓圜，是去年全年賣超額3.5兆韓圜的一半以上。外資賣超最多的個股是三星電子，金額為5,400億韓圜，接著是現代汽車、愛茉莉太平洋、SK海力士。<BR>外資拋棄三星，主因該公司智慧機和晶片部門獲利欠佳。分析師估計，去年第4季三星智慧機營益季減16.3%、至2兆韓圜。晶片部門營益則低於3兆韓圜，不及Q3的3.66兆韓圜。本季情況也沒有起色，元大證券分析師Lee Jae-yoon說，今年晶片價格將持續低迷，中國低價智慧機崛起，也不利三星行動部門。南韓研調機構FN Guide稱，分析師對今年Q1三星的獲利預估，已從之前的6.08兆韓圜，下修至5.80兆韓圜。<BR>台北時間20日下午12點21分為止，三星電子大跌2.65%、報1,140,000韓圜。今年迄今走跌9.60%。<BR>三星獲利壓力大，連小廠訂單都要搶。三星晶圓代工與台積電（2330）爭搶大單不成，現在將改與聯電（2303）搶小廠訂單。 <BR>三星過去只服務蘋果、高通等大客戶，但ETnews.com報導指出，三星面對今年半導體景氣充滿變數，代工接單模式將做修正，今年起服務範圍將向下延伸至南韓中小型無晶圓廠（Fabless）的晶片設計商。<BR>韓國經濟時報先前報導，大陸智慧型手機廠鯨吞蠶食，聲勢已逐漸威脅到蘋果，有調查預估大陸品牌廠今年出貨量將首度超越蘋果與三星的總和。市調機構DRAMeXchange統計，去年全球共賣出1.29億支智慧型手機，年增率僅一成出頭（10.3%）。<BR>＊編者按：本文僅供參考之用，並不構成要約、招攬或邀請、誘使、任何不論種類或形式之申述或訂立任何建議及推薦，讀者務請運用個人獨立思考能力，自行作出投資決定，如因相關建議招致損失，概與《精實財經媒體》、編者及作者無涉。"
1832,2016/1/20 19:30:00,三大法人賣超113億 外資選後連3賣 蘋概金融賣壓沉,鉅亨網記者李宜儒 台北亞股聯袂重挫，台股也同步下跌，加上國安基金未見明顯護盤動作，使得台股接連跌破7800點、7700點等整數關卡，盤中最低跌到7687.6點，大跌167.28點，終場大跌155.76點，以7699.12點作收，5日線及10日線再度失守。三大法人也持續賣超，外資賣超擴大到79.75億元，投信小幅買超0.2億元，自營商賣超33.71億元，合計賣超113.26億元。<BR>期貨部分，三大法人則是同步站在空方，外資減碼多單379口，淨部位淨多單降到16472口；自營商加碼空單1975口，淨部位淨空單2589口；投信也是加碼空單150口，淨部位淨空單6867口；合計三大法人今天共減碼多單2504口，淨部位淨多單為7016口。<BR>國際股市近期陷入拉回整理的窘境，加上國際油價續跌的壓力，使得外資也被迫要將資金從台股抽離，因此電金權值股的賣壓持續湧現，也讓台股無力撐盤。尤其是金融股，更是外資賣壓摜壓的重災區，包括中信金、玉山金、富邦金、新光金、國泰金、台新金、開發金、永豐金、元大金、第一金、兆豐金等，均是外資賣超標的。<BR>另外蘋概股的賣壓也不小，包括鴻海、和碩、台積電、瑞儀、華通、可成、廣達、欣興、F-臻鼎、鴻準、F-GIS、嘉聯益、大立光、F-TPK、正崴、F-鎧勝等，也都是遭到外資賣壓襲擊。其中鴻海遭外資連6賣，和碩也是連2賣，大立光也遭連3賣，顯示外資對於資金抽離壓力仍大，除非國際經濟局勢稍微好轉，否則這些電金權值股仍難逃賣壓摜壓，台股也很難止跌。<BR>外資集中市場買超第1名為華邦電，買超張數10508張，第2名緯創，買超6235張，第3名台塑，買超3350張，第4名英業達，買超3046張，第5名大眾銀，買超2814張。6到10名依序為，聯電，買超2405張；京元電，買超1749張；T50反1，買超1741張；微星，買超1551張；凌巨，買超1351張。<BR>外資集中市場賣超第1名中信金，賣超張數24391張，第2名友達，賣超張數15395張，第3名玉山金，賣超14064張，第4名富邦金，賣超13247張，第5名新光金，賣超11901張。6到10名依序為，鴻海，賣超11805張；國泰金，賣超11172張；台新金，賣超10824張；華亞科，賣超10185張；開發金，賣超10093張。<BR>法人指出，週三台指期1月合約結算，2月合約也在開盤後便一路殺低破底，直到回測至7600點附近後跌勢才略有緩和，尾盤又再度出現沉重賣壓，使得2月契約下跌逾3%，並跌破7600點整數關卡，逆價差突破百點，達107點。原本市場預期，台股若能守穩5日線，經過盤整後，還是有機會朝向月線8022點附近挑戰，不過今天一根長黑棒，不僅跌破5日線及10日線，也讓好不容易反轉向上的5日線再度下彎，由於台股還是以蘋概股為主流，預料在蘋果公布財報之前，台股仍將呈現弱勢整理。
2084,2016/1/22 15:11:00,《集中市場》土洋對作，三大法人賣超7.61億元,油價跌深反彈、ECB不排除再度加碼QE，激勵周四美股收高，日韓港等亞股今日開飆，帶動台股同步跳空大漲，在台積電 (2330) 、鴻海 (2317) 、和碩 (4938) 、台達電 (2308) 等大型股領軍強彈下，大大提振多頭士氣，指數站穩7700點之上，終場加權指數上漲92.17點為7756.18點，成交值689.57億元，本周下跌5.83點，周K線終止連三黑收紅。今日外資買超16.7694億元，投信賣超1.9552億元，自營商賣超22.4258億元，三大法人賣超7.61億元。<BR> 電子股方面，蘋果將在下周公布財報，蘋概股今日漲跌互見，鴻海 (2317) 、台積電 (2330) 雙雙走揚，和碩 (4938) 啟動庫藏股強勢飆高，帶動F-鎧勝 (5264) 、美律 (2439) 走揚，股王大立光 (3008) 則弱勢整理、失守2000元；面板股傳出大陸小尺寸急單到，帶動友達 (2409) 、華映 (2475) 走揚；DRAM族群今日隨台股反攻，華邦電 (2344) 在外資連日加碼下持續上攻，南亞科 (2408) 在現增新股賣壓逐漸紓緩下回彈。傳產股方面，塑化股受到五大泛用樹脂及原油齊反彈，帶動PVC、LDPE、LLDPE聯袂走揚，今以二線塑化股扮領頭羊，華夏 (1305) 、台苯 (1310) 、聯成 (1313) 、台聚 (1304) 等同步喊漲。金融股今日終於止跌回穩，國泰金 (2882) 、開發金 (2883) 、元大金 (2885) 等金控股領軍反攻，帶動類股收在紅盤，暫解持續探底的危機。<BR> 焦點股方面，和碩 (4938) 宣布啟動庫藏股，預計買回5萬張，加上外資積極力挺下，股價強勢大漲，與鴻海 (2317) 股價再度拉近。南茂 (8150) 宣布將斥資1.01億美元收購母公司百慕達南茂，暫訂在第三季完成，並於今日恢復正常交易，股價勁揚半根停板。宏達電 (2498) 下一代旗艦機M10傳出可能不會在MWC上發表，3月才會亮相，今日股價持穩收小紅。漢微科 (3658) 受到應用材料去年積極搶攻電子束檢測設備市場威脅，引發市場對未來營運疑慮，今日股價重挫破底，創33個月新低價。同致 (3552) 受惠於客戶新車款產品開始出貨，且農曆年長假提前拉貨，1月合併營收可望挑戰歷史新高，近期外資及投信持續買超，今天收在最高380元，再創上櫃新高價。聯電 (2303) 去年營收創新高，Q1逢淡季、營收估比上季下滑，27日將辦法說，今日獲買盤承接股價收紅。<BR> 外資今日買超16.7694億元，5日RSI為44.75，10日RSI為38.09，9日K值為36.27，9日D值為30.72，20日乖離率為-2.58。在歐洲與日本等央行暗示將擴大資金鬆激勵下，歐美主要股市周四大漲，亞股今日跟進，包括日本、南韓、香港等強勁反彈，台股受惠電子股領軍衝高，帶動指數開高走高，再度收復7700點。分析師表示，目前全球景氣仍舊低迷，市場買盤隨氣溫下降，再加上國內政局空窗期，短期內恐怕難有利多題材與政策刺激台股上漲，指數難脫弱勢震盪格局。操作上建議投資人保守觀望，可考慮防禦型且較不受景氣循環的族群布局，如生技醫療及環保綠能，但需設停損與停利點，區間操作為宜。(編輯整理：龍彩霖)
2363,2016/1/26 10:55:00,台股拉回7800點震盪 挫跌近百點,（中央社台北2016年1月26日電）美股回檔，台股自7900點關前拉回，盤中因陸股及港股弱勢，台股10時37分及39分二度微幅跌破7800點支撐，下跌94點；不過盤中大立光、漢微科等指標股止跌，指數持續於7800點關卡震盪整理。<BR>台股週一大漲137.97點，不僅越過十年線7881點，距離7900點關卡也僅一步之遙，但成交值僅新台幣694.32億元，農曆封關前追價力道保守，本土資金可能陸續撤離，因應長達9天的農曆年假。<BR>股王大立光、鴻海、和碩、台積電等蘋概股今天早盤拉回，不過大立光盤中由黑翻紅，能否帶動蘋果概念股仍待觀察；另外本週友達、聯電及多家IC設計股召開法人說明會，將牽動台股封關前表現。
2387,2016/1/26 14:45:00,台股盤後－原油跌美股挫 蘋概網通難撐大局 指數跌65點,國際油價回跌，拖累美國股市也回檔，加上亞股也跟跌，台股早盤雖然蘋概股大立光逆勢強彈，加上網通股也群起表態，但是依然不敵大盤沉重壓力，盤中多次測試7800點支撐，最低來到7799.58點，終場下跌65.48點，以7828.67點作收，再度跌破10年線，成交值則續萎縮到615.43億元。<BR>櫃檯指數雖然也是同步開低，不過在個股表現支撐下，盤中多次站上平盤，最高也一度越過120點的整數關卡，終場下跌0.03點，以119.85點作收，成交值續滑落到177.04億元，續創今年最低。<BR>台股各大類股僅有光電類股走揚，主要是因為大立光大漲激勵，類股指數上漲2.08%。至於汽車、金融、電腦設備、水泥、紡纖、觀光、半導體、塑膠、電子零組件、化學均下跌1%以上，電子通路、貿易百貨、建材營造、生醫、橡膠、航運、玻陶、電器電纜、食品、造紙、資訊服務、鋼鐵、通信網路、電機機械、油電燃氣等也均收黑。<BR>蘋概股今天看大立光表現，當台積電、鴻海、和碩等均回檔之際，大立光一枝獨秀，午盤過後急拉，終場大漲165元，以2240元作收。<BR>至於網通股今天也強勢表態，主要是因為具有網路背景的張善政接任閣揆，加上新政府也同樣設定網通是重點產業，因此股價仍處於中低價位的網通族群，依然再度獲得買盤青睞，包括鴻海集團旗下網通廠建漢及台通，智邦及仲琦也均走揚。<BR>另外近期即將舉行法說會的個股，今天表現也不差，包括聯電上漲0.25元，穩懋上漲1.5元，F-鎧勝維持平盤。<BR>生技股昨天則是由高價股表態，但是今天則是全面熄火休息，精華下跌16元，以615元作收；浩鼎下跌5元，以560元作收，佰妍下跌6元，以294元作收，智擎下跌6元，以220.5元作收，中裕也下跌2元，以210.5元作收。<BR>顧德投顧分析師顧奎國表示，影響台股主要有幾項因素，包括國際油價的走勢、台灣經濟表現、美股股市表現等，其中明天蘋果財報即將公布，能否激勵蘋概股繼續扮演強勢攻堅指標，至於在目前台股成交值持續萎縮的狀況下，大盤指數仍將維持在區間盤整為主，預料指數盤整區間將維持在7600-7900點之間。
2412,2016/1/26 19:15:00,台股量凍傷 三大法人賣超54億 10年線再失守,鉅亨網記者李宜儒 台北國際油價回跌，拖累美國股市回檔，亞股也跟跌，台股雖有部分蘋概股及網通股試圖撐盤，但依然不敵大盤沉重賣壓，盤中多次測試7800點支撐，終場下跌65.48點，以7828.67點作收，再度跌破10年線，成交值也因為春節封關在即而持續萎縮，僅615.43億元，再創今年新低。三大法人也轉為賣超，外資賣超45.85億元，投信買超1.66億元，自營商賣超10億元，合計賣超54.19億元。<BR>期貨部分，三大法人則僅有自營商站在多方，自營商回補空單1099口，淨部位淨空單為1264口；外資減碼多單617口，淨部位淨多單為23506口；投信也加碼空單241口，淨部位淨空單6580口；合計三大法人今天共加碼多單241口，淨部位淨多單為15662口。<BR>美股陷入震盪，外資加碼台股的標的也轉向電子二線廠，或是近期將舉行法說會的個股，包括聯電、華邦電、緯創、矽品、英業達等，另外網通廠也持續見到外資買盤湧現，包括建漢、仲琦、啟?、明泰等等，在外資無意加碼大型權值股下，台股指數也很難有明顯漲勢。<BR>至於外資對於金融股的賣壓又大舉出現，除了開發金因為公司實施庫藏股，外資也跟進買超外，包括中信金、台新金、國泰金、新光金、富邦金、永豐金、元大金、玉山金、兆豐金、合庫金、第一金、華南金、國票金等全遭外資賣超。<BR>值得注意的是，蘋概股的領頭指標大立光，外資今天又繼續買超215張，也讓大立光股價重回2200元之上；相較之下，包括台積電、鴻海、和碩等蘋概股，外資卻是轉為賣超，儘管賣超張數僅分別為1000餘張，但也顯示外資仍認為大立光股價跌幅確實明顯偏高。<BR>外資集中市場買超第1名為聯電，買超張數13368張，第2名華邦電，買超8376張，第3名緯創，買超5310張，第4名矽品，買超3912張，第5名英業達，買超3793張。6到10名依序為，彩晶，買超3628張；群創，買超2468張；中華電，買超2464張；開發金，買超2300張；東陽，買超1534張。<BR>外資集中市場賣超第1名中信金，賣超張數25521張，第2名台新金，賣超張數17508張，第3名友達，賣超16075張，第4名國泰金，賣超15955張，第5名新光金，賣超14702張。6到10名依序為，富邦金，賣超11647張；永豐金，賣超9949張；華亞科，賣超9843張；遠東新，賣超8121張；元大金，賣超7386張。<BR>國泰證期顧問處協理簡伯儀表示，今天台股盤勢呈現弱中透強，主要是在僅600多億元出頭的成交值，最後能夠收下影線，而且也守住在5日線之上，顯示低接買盤的力道其實不弱，另外蘋果明天早上公布的財報如果能交出亮眼的成績單，蘋概股就有機會繼續扮演台股領頭羊的角色。不過目前的變數在於，今天陸股大跌，這樣的跌勢如果蔓延到歐美股市，對台股來說也很難逃過一劫。
